ID,AcousticID,DateTime,X,Y,D,Lat,Long,Easting,Northing,n,HPE,HPEm,DRX,URX,DateTimeUTC
Ref3,65055,2014-04-19T22:16:48Z,1099.33,1180.97,0.488,51.621243,-124.144514,420768.3214292989,5719533.537401677,7,10.8,0.5,R08 R09 R10 R11 R12 R14,R08 R09 R10 R11 R12 R14,2014-04-19T22:16:48Z
Ref5,25316,2014-04-19T22:20:42Z,1261.87,1716.76,0.45,51.626058,-124.142166,420939.231760337,5720066.473645115,9,10.6,0.4,R01 R02 R34 R35 R36 R37,R01 R02 R34 R35 R36 R37,2014-04-19T22:20:42Z
Ref3,65055,2014-04-19T22:27:02Z,1099.19,1181.3,0.488,51.621245,-124.144516,420768.1864622179,5719533.761991163,8,10.8,0.3,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-19T22:27:02Z
Ref5,25316,2014-04-19T22:32:09Z,1262.06,1716.92,0.45,51.62606,-124.142164,420939.37367272016,5720066.693902697,8,10.6,0.2,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-19T22:32:09Z
Ref3,65055,2014-04-19T22:35:46Z,1099.4,1181.16,0.488,51.621244,-124.144513,420768.3923962647,5719533.647528092,8,10.8,0.3,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-19T22:35:46Z
Ref5,25316,2014-04-19T22:43:20Z,1261.98,1717.05,0.45,51.626061,-124.142165,420939.3061930374,5720066.806195281,8,10.6,0.1,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-19T22:43:20Z
Ref3,65055,2014-04-19T22:44:51Z,1099.42,1181.12,0.488,51.621244,-124.144512,420768.4616215169,5719533.6464439295,8,10.8,0.3,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-19T22:44:51Z
Ref5,25316,2014-04-19T22:53:58Z,1262.17,1716.98,0.45,51.62606,-124.142162,420939.5121085912,5720066.691738911,8,10.6,0.3,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-19T22:53:58Z
Ref3,65055,2014-04-19T22:54:37Z,1099.31,1180.89,0.488,51.621242,-124.144514,420768.319687587,5719533.426191098,7,10.8,0.5,R08 R09 R10 R11 R12 R14,R08 R09 R10 R11 R12 R14,2014-04-19T22:54:37Z
Ref5,25316,2014-04-19T23:03:30Z,1261.9,1717.12,0.45,51.626061,-124.142166,420939.23697510257,5720066.8072771765,8,10.7,0.1,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-19T23:03:30Z
Ref3,65055,2014-04-19T23:05:47Z,1099.54,1180.61,0.488,51.621239,-124.144511,420768.52213823615,5719533.089306877,8,10.8,0.8,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-19T23:05:47Z
Ref5,25316,2014-04-19T23:14:13Z,1261.69,1716.87,0.45,51.626059,-124.142169,420939.0258447803,5720066.588101495,1,20.3,0.4,R01 R02 R04 R06 R34 R37,R01 R34 R37,2014-04-19T23:14:13Z
Ref3,65055,2014-04-19T23:16:25Z,1099.16,1180.7,0.488,51.62124,-124.144516,420768.1777536433,5719533.20593827,7,10.8,0.8,R08 R09 R10 R11 R12 R14,R08 R09 R10 R11 R12 R14,2014-04-19T23:16:25Z
Ref4,65053,2014-04-19T23:19:41Z,847.95,854.82,0.61,51.618311,-124.148143,420511.9802253467,5719211.40882642,2,12.1,0.1,R11 R12 R16 R18 R19 R20,R16 R18 R19 R20,2014-04-19T23:19:41Z
Ref5,25316,2014-04-19T23:34:47Z,1261.72,1716.93,0.45,51.62606,-124.142169,420939.02758304006,5720066.699312182,8,10.6,0.3,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-19T23:34:47Z
