ID,AcousticID,DateTime,X,Y,D,Lat,Long,Easting,Northing,n,HPE,HPEm,DRX,URX,DateTimeUTC
Ref6,65057,2015-04-19T20:53:58Z,1001.97,627.01,0.532,51.616264,-124.14592,420662.30838971824,5718981.345490296,2,9.5,0.4,R28 R29 R30 R31 R38,R28 R29 R30 R38,2015-04-19T20:53:58Z
Ref6,65057,2015-04-19T21:05:13Z,1002.34,627.18,0.532,51.616265,-124.145914,420662.7255303925,5718981.450187549,3,8.7,0.1,R28 R29 R30 R31 R38 R39,R28 R29 R30 R38 R39,2015-04-19T21:05:13Z
Ref6,65057,2015-04-19T21:15:59Z,1002.78,627.48,0.532,51.616268,-124.145908,420663.1461584732,5718981.7773057865,3,8.7,0.6,R28 R29 R30 R31 R38 R39,R28 R29 R30 R38 R39,2015-04-19T21:15:59Z
Ref6,65057,2015-04-19T21:25:48Z,1002.1,626.98,0.532,51.616262999999996,-124.145918,420662.4451116424,5718981.232108743,3,8.7,0.3,R28 R29 R30 R31 R38 R39,R28 R29 R30 R38 R39,2015-04-19T21:25:48Z
Ref6,65057,2015-04-19T21:37:01Z,1002.23,627.14,0.532,51.616265,-124.145916,420662.58706474566,5718981.452358618,2,9.5,0.2,R28 R29 R30 R31 R38,R28 R29 R30 R38,2015-04-19T21:37:01Z
Ref6,65057,2015-04-19T21:47:42Z,1003.33,627.97,0.532,51.616272,-124.1459,420663.7069958302,5718982.213463494,3,8.7,1.3,R28 R29 R30 R31 R38 R39,R28 R29 R30 R38 R39,2015-04-19T21:47:42Z
Ref6,65057,2015-04-19T21:57:22Z,1002.04,627.36,0.532,51.616267,-124.145919,420662.38285373093,5718981.678036181,2,9.5,0.4,R28 R29 R30 R31 R38,R28 R29 R30 R38,2015-04-19T21:57:22Z
Ref5,25316,2015-04-19T22:06:23Z,1247.54,1707.21,9.919,51.625972,-124.142373,420924.75413010287,5720057.13349907,1,9.7,4.9,R01 R03 R05 R34 R35,R01 R34 R35,2015-04-19T22:06:23Z
Ref6,65057,2015-04-19T22:08:18Z,1002.25,627.34,0.532,51.616267,-124.145915,420662.6597850158,5718981.673694034,2,9.5,0.3,R28 R29 R30 R31 R38,R28 R29 R30 R38,2015-04-19T22:08:18Z
Ref5,25316,2015-04-19T22:15:02Z,1250.4,1709.43,9.919,51.625992,-124.142332,420927.6268410528,5720059.313347734,1,9.6,3.1,R01 R03 R05 R34 R35,R01 R34 R35,2015-04-19T22:15:02Z
