Name,Latitude,Longitude,Receiver,Device_Depth,SyncTag,TagID,Start Time,STZ,End Time,ETZ,Args
R22,51.6162,-124.14995,112458,4.1,A69-1601-65081,65081,4/18/2014 20:46,0,5/3/2014 11:53,0,Derived
R22,51.61624,-124.15,112458,4.1,A69-1601-65081,65081,5/3/2014 12:11,0,5/20/2014 20:44,0,Derived
R24,51.6147,-124.15125,113051,0.1,A69-1601-65064,65064,4/18/2014 18:41,0,5/3/2014 11:53,0,Derived
R24,51.61471,-124.15123,113051,0.1,A69-1601-65064,65064,5/3/2014 12:11,0,5/20/2014 17:30,0,Derived
R25,51.61329,-124.1485,114737,0.5,A69-1601-65063,65063,4/18/2014 18:53,0,5/3/2014 11:53,0,Derived
R25,51.61329,-124.14852,114737,0.5,A69-1601-65063,65063,5/3/2014 12:11,0,5/20/2014 17:38,0,Derived
R26,51.61349,-124.15213,112402,0.7,A69-1601-65062,65062,4/18/2014 19:15,0,5/3/2014 11:53,0,Derived
R26,51.6135,-124.15216,112402,0.7,A69-1601-65062,65062,5/3/2014 12:11,0,5/20/2014 17:54,0,Derived
R27,51.61499,-124.14692,119781,8.2,A69-1601-65070,65070,4/18/2014 21:55,0,5/3/2014 11:53,0,Derived
R27,51.61499,-124.14694,119781,8.2,A69-1601-65070,65070,5/3/2014 12:11,0,5/20/2014 20:34,0,Derived
R28,51.61557,-124.14476,112410,3.2,A69-1601-65065,65065,4/18/2014 22:13,0,5/3/2014 11:53,0,Derived
R28,51.61557,-124.14478,112410,3.2,A69-1601-65065,65065,5/3/2014 12:11,0,5/20/2014 20:30,0,Derived
R29,51.61686,-124.14608,119779,2.2,A69-1601-65074,65074,4/22/2014 17:53,0,5/3/2014 11:53,0,Derived
R29,51.61685,-124.14611,119779,2.2,A69-1601-65074,65074,5/3/2014 12:11,0,5/20/2014 20:12,0,Derived
R30,51.61761,-124.14404,108645,4.5,A69-1601-65068,65068,4/18/2014 22:33,0,5/3/2014 11:53,0,Derived
R30,51.61762,-124.14409,108645,4.5,A69-1601-65068,65068,5/3/2014 12:11,0,5/15/2014 14:31,0,Derived
R30,51.61762,-124.14409,108645,4.5,A69-1601-65068,65068,5/15/2014 15:11,0,5/20/2014 19:58,0,Derived
R31,51.61965,-124.14287,112498,0.7,A69-1601-65094,65094,4/22/2014 18:13,0,5/3/2014 11:53,0,Derived
R31,51.61963,-124.14283,112498,0.7,A69-1601-65094,65094,5/3/2014 12:11,0,5/15/2014 14:31,0,Derived
R31,51.61964,-124.14284,112498,0.7,A69-1601-65094,65094,5/15/2014 15:11,0,5/20/2014 19:29,0,Derived
