Name,Latitude,Longitude,Start.time,End.time
R32,51.62014,-124.14228,2014-05-15T15:11:36Z,2014-05-20T19:03:39Z
R33,51.62148,-124.14141,2014-04-19T20:03:20Z,2014-05-03T11:53:44Z
R33,51.6215,-124.14137,2014-05-03T12:11:01Z,2014-05-08T17:19:46Z
R33,51.62146,-124.14146,2014-05-08T18:43:10Z,2014-05-20T18:56:17Z
R34,51.62567,-124.14186,2014-04-17T23:34:23Z,2014-05-03T11:53:44Z
R34,51.62567,-124.14188,2014-05-03T12:11:01Z,2014-05-20T22:42:04Z
R35,51.62639,-124.14161,2014-04-17T23:43:27Z,2014-05-03T11:53:44Z
R35,51.62639,-124.14162,2014-05-03T12:11:01Z,2014-05-20T22:45:08Z
R36,51.62644,-124.14251,2014-04-17T23:49:59Z,2014-05-03T11:53:44Z
R36,51.62644,-124.14252,2014-05-03T12:11:01Z,2014-05-20T22:52:59Z
R37,51.62578,-124.14269,2014-04-17T23:58:29Z,2014-05-03T11:53:44Z
R37,51.62579,-124.14272,2014-05-03T12:11:01Z,2014-05-20T22:59:24Z
R38,51.61875,-124.14375,2014-05-07T00:14:59Z,2014-05-20T19:46:44Z
R39,51.61834,-124.14296,2014-05-07T00:37:40Z,2014-05-20T19:49:28Z
Ref1,51.61392,-124.15092,2014-04-18T19:03:52Z,2014-05-03T11:53:44Z
Ref1,51.61392,-124.15095,2014-05-03T12:11:01Z,2014-05-20T17:46:20Z
Ref2,51.62342,-124.14276,2014-04-18T23:37:22Z,2014-05-03T11:53:44Z
Ref2,51.62342,-124.14277,2014-05-03T12:11:01Z,2014-05-20T22:21:18Z
Ref3,51.62125,-124.14451,2014-04-19T18:38:38Z,2014-05-03T11:53:44Z
Ref3,51.62124,-124.14452,2014-05-03T12:11:01Z,2014-05-20T21:53:14Z
Ref4,51.61831,-124.14814,2014-04-19T17:34:57Z,2014-05-03T11:53:44Z
Ref4,51.61831,-124.14811,2014-05-03T12:11:01Z,2014-05-20T21:26:31Z
Ref5,51.62606,-124.14217,2014-04-18T09:30:00Z,2014-05-03T11:53:44Z
Ref5,51.62607,-124.14218,2014-05-03T12:11:01Z,2014-05-20T22:56:53Z
Ref6,51.61628,-124.14602,2014-04-22T17:37:21Z,2014-05-03T11:53:44Z
Ref6,51.61627,-124.14605,2014-05-03T12:11:01Z,2014-05-20T20:24:16Z
