Name,Latitude,Longitude,Receiver,Device_Depth,SyncTag,TagID,Start Time,STZ,End Time,ETZ,Args
R00,51.62259098,-124.143275,101170,0.3,A69-1601-65089,65089,2015-04-20T22:51:50Z,0,2015-05-10T11:16:00Z,0,Derived
R00,51.62258696,-124.143225,101170,0.3,A69-1601-65089,65089,2015-04-20T22:51:50Z,0,2015-05-10T11:16:00Z,0,Derived
R00,51.62263297,-124.143233,101170,0.3,A69-1601-65089,65089,2015-04-20T22:51:50Z,0,2015-05-10T11:16:00Z,0,Derived
R01,51.62546002,-124.142264,108651,0.6,A69-1601-65087,65087,2015-04-19T21:51:00Z,0,2015-05-10T11:42:00Z,0,Derived
R01,51.62545499,-124.142241,108651,0.6,A69-1601-65087,65087,2015-04-19T21:51:00Z,0,2015-05-10T11:42:00Z,0,Derived
R01,51.62548299,-124.142244,108651,0.6,A69-1601-65087,65087,2015-04-19T21:51:00Z,0,2015-05-10T11:42:00Z,0,Derived
R02,51.62479199,-124.143093,102263,0.7,A69-1601-65093,65093,2015-04-20T23:19:01Z,0,2015-05-09T11:56:00Z,0,Derived
R02,51.62478704,-124.143093,102263,0.7,A69-1601-65093,65093,2015-04-20T23:19:01Z,0,2015-05-09T11:56:00Z,0,Derived
R02,51.62476801,-124.143079,102263,0.7,A69-1601-65093,65093,2015-04-20T23:19:01Z,0,2015-05-09T11:56:00Z,0,Derived
R03,51.62457498,-124.14195,108643,0.5,A69-1601-65079,65079,2015-04-19T21:44:21Z,0,2015-05-10T11:33:00Z,0,Derived
R03,51.62454899,-124.141961,108643,0.5,A69-1601-65079,65079,2015-04-19T21:44:21Z,0,2015-05-10T11:33:00Z,0,Derived
R03,51.62457003,-124.141924,108643,0.5,A69-1601-65079,65079,2015-04-19T21:44:21Z,0,2015-05-10T11:33:00Z,0,Derived
R04,51.62419,-124.143214,108659,0.7,A69-1601-65090,65090,2015-04-20T23:15:32Z,0,2015-05-09T11:50:00Z,0,Derived
R04,51.62419201,-124.143175,108659,0.7,A69-1601-65090,65090,2015-04-20T23:15:32Z,0,2015-05-09T11:50:00Z,0,Derived
R04,51.62416996,-124.143184,108659,0.7,A69-1601-65090,65090,2015-04-20T23:15:32Z,0,2015-05-09T11:50:00Z,0,Derived
R05,51.62360201,-124.142386,119083,0.5,NA,NA,2015-04-19T21:35:54Z,0,2015-05-10T11:43:00Z,0,Derived
R05,51.62362204,-124.142364,119083,0.5,NA,NA,2015-04-19T21:35:54Z,0,2015-05-10T11:43:00Z,0,Derived
R06,51.62319004,-124.14313,108656,0.4,A69-1601-65086,65086,2015-04-20T22:58:04Z,0,2015-05-10T11:19:00Z,0,Derived
R06,51.62320001,-124.143101,108656,0.4,A69-1601-65086,65086,2015-04-20T22:58:04Z,0,2015-05-10T11:19:00Z,0,Derived
R06,51.62322398,-124.143115,108656,0.4,A69-1601-65086,65086,2015-04-20T22:58:04Z,0,2015-05-10T11:19:00Z,0,Derived
R07,51.62274999,-124.141829,105458,1,A69-1601-65078,65078,2015-04-19T21:30:45Z,0,2015-05-09T11:35:00Z,0,Derived
R07,51.62277798,-124.141776,105458,1,A69-1601-65078,65078,2015-04-19T21:30:45Z,0,2015-05-09T11:35:00Z,0,Derived
R08,51.62227096,-124.142272,114734,0.7,NA,NA,2015-04-19T21:25:08Z,0,2015-05-09T11:29:00Z,0,Derived
R08,51.622264,-124.142234,114734,0.7,NA,NA,2015-04-19T21:25:08Z,0,2015-05-09T11:29:00Z,0,Derived
R09,51.62165204,-124.144693,124707,0.6,A69-1601-65088,65088,2015-04-20T22:40:23Z,0,2015-05-10T10:51:00Z,0,Derived
